RideID;RideAddressID;Coordenadas Inicio;Coordenadas Fim;Distancia_km;Duracao_min;ProductID;Price;ProductID_normalizado;CategoriaFinal
1183325;2334527;-22.729125,-43.446141;-22.8371489,-43.2738342;25.38;29.62;Comfort;70.5;comfort;Comfort
1183327;2334531;-26.966322200000004,-48.6408646;-26.9117939,-48.6917325;11.95;25.6;Comfort;30.0;comfort;Comfort
1183328;2334533;-20.4369816,-54.6566221;-20.4621662,-54.6510581;4.12;9.52;Comfort;12.5;comfort;Comfort
1183329;2334535;-22.85081330000001,-43.37127659999999;-22.7932554,-43.3006377;14.54;17.68;Comfort;44.0;comfort;Comfort
1183330;2334537;-19.6882013,-43.9217799;-19.6296002,-43.9003409;11.31;18.18;Comfort;27.0;comfort;Comfort
1183331;2334539;-19.8679725,-43.931162099999995;-19.8587158,-43.9350694;3.06;8.23;Comfort;11.5;comfort;Comfort
1183332;2334541;-23.6023547,-46.4986582;-23.5534223,-46.5191573;8.13;22.13;Comfort;27.0;comfort;Comfort
1183332;2334541;-23.6023547,-46.4986582;-23.5534223,-46.5191573;8.13;22.13;Bag;25.0;bag;Comfort
1183334;2334545;-23.6085574,-46.72526329999999;-23.5446922,-46.7009853;10.88;24.47;Comfort;49.5;comfort;Comfort
1183334;2334545;-23.6085574,-46.72526329999999;-23.5446922,-46.7009853;10.88;24.47;Bag;46.5;bag;Comfort
1183335;2334547;-23.037839899999998,-45.617396799999995;-23.0374397,-45.56036350000001;8.09;17.13;Comfort;19.0;comfort;Comfort
1183339;2334555;-22.7966375,-45.1773067;-22.8249808,-45.1917377;5.37;10.33;Comfort;17.0;comfort;Comfort
1183341;2334559;-23.704306799999998,-46.5276545;-23.6568665,-46.6022652;11.8;25.18;Comfort;91.5;comfort;Comfort
1183341;2334559;-23.704306799999998,-46.5276545;-23.6568665,-46.6022652;11.8;25.18;Bag;85.0;bag;Comfort
1183343;2334563;-22.873191,-43.291830600000004;-22.9474645,-43.1827333;18.72;31.45;Comfort;83.0;comfort;Comfort
1183345;2334567;-23.5225179,-46.5212073;-23.5224,-46.5316;1.23;4.13;Comfort;10.5;comfort;Comfort
1183345;2334567;-23.5225179,-46.5212073;-23.5224,-46.5316;1.23;4.13;Bag;15.0;bag;Comfort
1183346;2334569;-22.7966375,-45.1773067;-22.8249808,-45.1917377;5.37;10.33;Comfort;17.0;comfort;Comfort
1183347;2334571;-22.7832522,-43.3910957;-22.75821,-43.43202;8.15;14.03;Comfort;19.0;comfort;Comfort
1183348;2334573;-23.5225179,-46.5212073;-23.5224,-46.5316;1.23;4.13;Comfort;11.5;comfort;Comfort
1183348;2334573;-23.5225179,-46.5212073;-23.5224,-46.5316;1.23;4.13;Bag;16.5;bag;Comfort
1183349;2334575;-23.6085574,-46.72526329999999;-23.5446922,-46.7009853;10.88;24.47;Comfort;38.0;comfort;Comfort
1183349;2334575;-23.6085574,-46.72526329999999;-23.5446922,-46.7009853;10.88;24.47;Bag;37.0;bag;Comfort
1183351;2334579;-20.0065194,-44.0156029;-19.9851247,-44.0087181;3.07;8.15;Comfort;11.5;comfort;Comfort
1183353;2334583;-23.546317199999997,-46.202978699999996;-23.5278758,-46.1665731;6.21;16.65;Comfort;21.0;comfort;Comfort
1183353;2334583;-23.546317199999997,-46.202978699999996;-23.5278758,-46.1665731;6.21;16.65;Bag;19.5;bag;Comfort
