RideID;RideAddressID;Coordenadas Inicio;Coordenadas Fim;Distancia_km;Duracao_min;ProductID;Price;ProductID_normalizado;CategoriaFinal
1183624;2335125;-23.538776,-46.531564599999996;-23.5466855,-46.56360619999999;4.94;11.77;Black Bag;27.5;black bag;Black
1183626;2335129;-22.822388,-43.2941971;-22.8355571,-43.2636396;4.33;8.92;Black;19.0;black;Black
1183627;2335131;-23.4912847,-46.5690465;-23.5066064,-46.6003012;5.34;14.53;Black;24.5;black;Black
1183627;2335131;-23.4912847,-46.5690465;-23.5066064,-46.6003012;5.34;14.53;Black Bag;30.0;black bag;Black
1183628;2335133;-23.5362563,-46.6791229;-23.5539077,-46.66284129999999;4.16;14.25;Black;27.0;black;Black
1183628;2335133;-23.5362563,-46.6791229;-23.5539077,-46.66284129999999;4.16;14.25;Black Bag;33.5;black bag;Black
1183629;2335135;-23.5362563,-46.6791229;-23.5539077,-46.66284129999999;4.16;14.25;Black;27.0;black;Black
1183629;2335135;-23.5362563,-46.6791229;-23.5539077,-46.66284129999999;4.16;14.25;Black Bag;33.5;black bag;Black
1183631;2335139;-25.4431072,-49.2734105;-25.4320707,-49.2753311;2.58;10.13;Black;18.0;black;Black
1183633;2335143;-23.448902399999998,-46.7349493;-23.4441691,-46.7179616;3.14;9.08;Black;18.0;black;Black
1183634;2335145;-25.4439505,-49.2735768;-25.4320707,-49.2753311;2.46;9.47;Black;17.0;black;Black
1183635;2335147;-22.856685,-43.315009;-22.920728,-43.22817759999999;14.49;27.2;Black;50.5;black;Black
1183637;2335151;-23.5313823,-46.402232;-23.55980469999999,-46.4858179;12.62;29.45;Black;49.0;black;Black
1183644;2335165;-19.903994,-43.9775101;-19.9152493,-43.9793551;2.07;6.47;Black;13.0;black;Black
1183645;2335167;-23.610332,-46.686329;-23.5952452,-46.6685916;4.42;15.4;Black;20.0;black;Black
1183645;2335167;-23.610332,-46.686329;-23.5952452,-46.6685916;4.42;15.4;Black Bag;24.5;black bag;Black
1183646;2335169;-23.610332,-46.686329;-23.5952452,-46.6685916;4.42;15.4;Black;20.0;black;Black
1183646;2335169;-23.610332,-46.686329;-23.5952452,-46.6685916;4.42;15.4;Black Bag;24.5;black bag;Black
1183652;2335181;-23.671686299999998,-46.6008119;-23.7027473,-46.53771199999999;10.41;21.9;Black Bag;46.0;black bag;Black
1183652;2335181;-23.671686299999998,-46.6008119;-23.7027473,-46.53771199999999;10.41;21.9;Black;38.0;black;Black
1183656;2335189;-23.5996819,-46.6660943;-23.6249683,-46.6674786;5.08;13.23;Black;19.5;black;Black
1183656;2335189;-23.5996819,-46.6660943;-23.6249683,-46.6674786;5.08;13.23;Black Bag;24.0;black bag;Black
1183664;2335205;-19.8593354,-43.9361715;-19.8823207,-43.95737250000001;5.71;9.82;Black;22.0;black;Black
1183668;2335213;-23.669535,-46.61015500000001;-23.6905344,-46.5803601;5.61;17.15;Black;23.0;black;Black
1183668;2335213;-23.669535,-46.61015500000001;-23.6905344,-46.5803601;5.61;17.15;Black Bag;28.5;black bag;Black
1183670;2335217;-19.8746842,-43.9234357;-19.8957806,-43.9604759;6.65;13.98;Black;26.0;black;Black
1183672;2335221;-19.8584273,-43.934944699999996;-19.8823207,-43.95737250000001;5.87;10.27;Black;22.0;black;Black
1183675;2335227;-22.776984,-43.3618303;-22.7917644,-43.31206100000001;7.55;19.17;Black;27.5;black;Black
1183678;2335233;-23.61166670000001,-46.62861109999999;-23.6027345,-46.6421033;2.4;7.67;Black;13.5;black;Black
1183680;2335237;-22.8497725,-43.3362367;-22.8551189,-43.324115;2.12;8.25;Black;11.5;black;Black
1183681;2335239;-19.8746842,-43.9234357;-19.8957806,-43.9604759;6.65;13.98;Black;26.0;black;Black
1183682;2335241;-15.877242,-48.01426;-15.8339137,-48.0144517;11.41;14.37;Black;29.5;black;Black
1183683;2335243;-23.61166670000001,-46.62861109999999;-23.6027345,-46.6421033;2.4;7.67;Black;13.5;black;Black
1183685;2335247;-23.6144942,-46.7753139;-23.607122,-46.7588824;4.72;12.85;Black;18.0;black;Black
1183686;2335249;-25.441213,-49.23580210000001;-25.4474856,-49.2895035;6.43;16.33;Black;32.0;black;Black
1183688;2335253;-23.6130188,-46.7764959;-23.607122,-46.7588824;3.77;9.52;Black;15.5;black;Black
1183689;2335255;-30.03818299999999,-51.2211092;-30.03164889999999,-51.2271175;1.46;5.82;Black;12.5;black;Black
1183690;2335257;-25.441213,-49.23580210000001;-25.4474856,-49.2895035;6.43;16.33;Black;32.0;black;Black
1183691;2335259;-25.4604032,-49.3240483;-25.4699602,-49.295997;3.95;9.78;Black;21.0;black;Black
1183695;2335267;-19.845914,-43.920717;-19.95134759999999,-43.9281057;14.1;29.52;Black;49.5;black;Black
1183696;2335269;-23.678366399999998,-46.4981534;-23.6934853,-46.505619;3.16;8.03;Black;15.0;black;Black
1183696;2335269;-23.678366399999998,-46.4981534;-23.6934853,-46.505619;3.16;8.03;Black Bag;18.5;black bag;Black
1183697;2335271;-23.678366399999998,-46.4981534;-23.6934853,-46.505619;3.16;8.03;Black;15.0;black;Black
1183697;2335271;-23.678366399999998,-46.4981534;-23.6934853,-46.505619;3.16;8.03;Black Bag;18.5;black bag;Black
1183698;2335273;-23.0113872,-43.30484810000001;-23.0043783,-43.3179216;4.16;7.05;Black;17.0;black;Black
1183700;2335277;-22.8788509,-43.3636208;-22.9392405,-43.3427802;10.65;27.07;Black;43.0;black;Black
1183704;2335285;-23.5566781,-46.6608408;-23.547131,-46.6420795;2.84;9.05;Black;15.5;black;Black
1183704;2335285;-23.5566781,-46.6608408;-23.547131,-46.6420795;2.84;9.05;Black Bag;19.0;black bag;Black
